game_id,stack,river_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_to_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__turn_player,last_raise_riverplayer,flop,turn,river,mise en cas de raise/bet,decision
808358146,7.49,1,6,Td Th,25.52,2,10.0,0.8388888888888889,0,0,-1,0,Kd 6s Ks,2d,8s,0.0,folds
808357141,13.29,1,5,6c Ah,3.67,2,0.0,0.29393939393939394,0,0,-1,-1,9h 5s 7d,2d,Jd,0.0,checks
808356795,6.03,0,6,Kc 9c,3.04,2,0.96,0.36414141414141415,0,0,1,-1,2h Js Qc,5s,Ac,0.96,bets
808356542,6.87,1,5,Qc 9d,1.3599999999999999,2,0.0,0.35353535353535354,0,0,-1,-1,Kh Ts Ks,3d,2s,0.0,checks
808356524,0.5700000000000007,1,5,6h 7h,13.96,2,0.0,0.9045454545454545,0,0,0,-1,5c 6s 9c,5h,8s,0.0,checks
808356524,0.5700000000000007,1,5,6h 7h,20.59,2,6.63,0.9045454545454545,0,0,0,0,5c 6s 9c,5h,8s,0.0,calls
808355209,12.37,1,6,9c Qs,5.26,2,0.0,0.8717171717171717,0,0,0,-1,Ad 7h 8s,Qd,Ac,0.0,checks
808354900,12.47,1,6,Qh Jc,5.3100000000000005,2,0.0,0.3601010101010101,0,0,-1,-1,6c 8d 8s,8h,9d,0.0,checks
808353944,6.13,0,6,Ac Td,2.99,2,0.0,0.15505050505050505,0,0,1,-1,9d 6d 3d,5s,4s,11.13,raises
808353620,2.06,0,6,Th Tc,21.38,2,7.5,0.952020202020202,0,0,-1,1,9d 6c Qs,Js,8d,0.0,calls
808352383,4.04,1,5,6s 6c,7.0200000000000005,2,0.0,0.3606060606060606,0,0,1,-1,2d 2c Kd,Qd,5d,0.0,checks
808351004,5.62,0,5,Qd Ks,7.109999999999999,2,3.25,0.9762626262626263,0,0,0,1,5s Kc 2d,Kh,9c,0.0,calls
808350992,4.5,0,6,9c Ad,11.35,2,5.0,0.3277777777777778,0,0,-1,1,4c 5d 6s,8d,6h,0.0,folds
808350241,0.1800000000000006,1,6,Tc Ts,14.64,2,0.0,0.7358585858585859,0,0,0,-1,6d 9h 5h,Ac,3d,0.0,checks
