game_id,stack,flop_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_to_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__preflop_player,last_raise_flopplayer,flop,mise en cas de raise/bet,decision
808898051,4.25,1,4,Js Qs,1.6,2,0.5,0.4703977798334875,0.24837280955131907,0.1199696772796188,1,-1,7d Kh Td,0.5,bets
808897814,6.88,0,6,As Qh,1.49,2,0.71,0.9629972247918593,0.06976744186046512,0.051596424010217114,0,-1,4d Qc 6s,0.71,bets
808896939,2.75,0,6,Qd As,4.85,2,0.0,0.5851063829787234,0.10723571253372578,0.1443746729461015,0,-1,2d 4h 7h,2.75,raises
808894969,20.8,0,6,Th Tc,5.5,2,2.09,0.8441258094357077,0.046153846153846156,0.07637824023366192,0,-1,2c Qh 3h,2.09,bets
808894919,18.0,0,3,Kc 3c,4.5,2,1.71,0.4962997224791859,0.1352762598664238,0.12865064695009243,0,-1,Ad 5h 2s,1.71,bets
808894187,18.0,1,6,6s Ts,4.0,2,1.52,0.17067530064754857,0.1736342335676409,0.12839506172839507,1,-1,9d 3h 7d,1.52,bets
808815196,14.0,2,9,Th Kh,4.25,4,0.5,0.4333950046253469,0.10556455969746083,0.1676297862344374,2,-1,5s 2h 6c,0.5,bets
808815196,13.5,2,9,Th Kh,10.25,3,5.0,0.4333950046253469,0.10556455969746083,0.1676297862344374,2,0,5s 2h 6c,0.0,folds
808811598,6.88,0,6,9s Js,1.8599999999999999,3,0.59,0.8288621646623496,0.0897163120567376,0.0664441972562106,0,-1,9h Kd 4h,0.59,bets
808811517,13.5,0,9,Kc Qs,3.5,2,0.0,0.4555966697502313,0.10848791455874086,0.14558461882405543,0,-1,2c 3h 6s,0.0,checks
808810778,14.5,1,5,Qc 8d,1.0,2,0.5,0.44819611470860315,0.07317433906452209,0.1341058850261304,-1,-1,9c 5c Kd,0.5,bets
808808379,14.5,0,5,Tc Jh,2.0,2,1.0,0.3593894542090657,0.10090865614538498,0.12595419847328243,-1,1,8d 8s 3d,0.0,calls
808807494,12.79,0,5,3c 4c,2.0,2,1.0,0.026364477335800184,0.27007253232418793,0.1696969696969697,-1,1,Ts Tc 9c,0.0,calls
